Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

01611/29296: [00899] R | READY       | 93 70 FF FF FF FF 00 27 D0
01625/29296: [00899] T | ACTIVE      | 08 B6 DD
01633/29296: [01020] R | ACTIVE      | 50 00 57 CD
01642/29296: [01020] T | HALT        | 
01647/29296: [01027] R | HALT        | 52
01653/29296: [01027] T | READY       | 04 00
01660/29296: [01028] R | READY       | 93 70 FF FF FF FF 00 27 D0
01674/29296: [01029] T | ACTIVE      | 08 B6 DD
01682/29296: [01033] R | ACTIVE      | 60 00 F5 7B
01691/29296: [01033] T | AUTHING     | 01 20 01 45
01700/29296: [01035] R | AUTHING     | 8C 80 31 8D D8 51 B0 DC
01713/29296: [01035] T | IDLE        | 
01718/29296: [01040] R | IDLE        | 50 00 57 CD
01727/29296: [01040] T | HALT        | 
01732/29296: [01047] R | HALT        | 52
01738/29296: [01047] T | READY       | 04 00
01745/29296: [01048] R | READY       | 93 70 FF FF FF FF 00 27 D0
01759/29296: [01048] T | ACTIVE      | 08 B6 DD
01767/29296: [01054] R | ACTIVE      | 60 00 F5 7B
01776/29296: [01108] + | AUTHING     | 
01781/29296: [01241] R | IDLE        | 26
01787/29296: [01241] + | READY       | 
01792/29296: [01242] R | READY       | 93 20
01799/29296: [01242] + | READY       | 
01804/29296: [01243] R | READY       | 93 70 FF FF FF FF 00 27 D0
01818/29296: [01243] + | ACTIVE      | 
01823/29296: [01252] R | ACTIVE      | 50 00 57 CD
01832/29296: [01252] + | HALT        | 
01837/29296: [01256] R | HALT        | 52
01843/29296: [01256] + | READY       | 
01848/29296: [01258] R | READY       | 93 70 FF FF FF FF 00 27 D0
01862/29296: [01258] + | ACTIVE      | 
01867/29296: [01265] R | ACTIVE      | 50 00 57 CD
01876/29296: [01265] + | HALT        | 
01881/29296: [01270] R | HALT        | 52
01887/29296: [01270] + | READY       | 
01892/29296: [01271] R | READY       | 93 70 FF FF FF FF 00 27 D0
01906/29296: [01271] + | ACTIVE      | 
01911/29296: [01277] R | ACTIVE      | 60 00 F5 7B
01920/29296: [01277] + | AUTHING     | 
01925/29296: [01279] R | AUTHING     | B3 34 21 B7 49 12 5E F3
